created_at,text
Fri Jul 17 13:32:02 +0000 2020,"17 positive cases, which is an incease on yesterday (tho spread across several health boards). As always, these will be examined v closely for any possible connections. Remember if you have symptoms, self isolate and book a test at https://t.co/eSO1YM7pre"
Fri Jul 17 13:21:21 +0000 2020,"Another day yesterday with no deaths registered of people with confirmed #COVID 🙏 
My thanks to everyone across 🏴󠁧󠁢󠁳󠁣󠁴󠁿 - our collective sacrifices have helped get this virus under control. Please keep it up. Let’s not drop our guard now. Remember FACTS #StaySafe https://t.co/W4SncXJMaH"
Fri Jul 17 10:42:46 +0000 2020,@Carer49 @DouglasMaxw3ll I’ll be back before you know it! Btw happy anniversary/birthday
Fri Jul 17 10:13:38 +0000 2020,3. The daily statistics will be published at https://t.co/epNFvghFjx as usual. You will find other #COVID information there too - or at https://t.co/eSO1YM7pre
Fri Jul 17 10:12:09 +0000 2020,"2. In meantime, please stick to the rules to keep the virus under control. Remember FACTS:
🇫Face coverings in enclosed spaces
🇦Avoid crowded places
🇨Clean hands &amp; surfaces regularly
🇹Two metre distancing
🇸Self isolate &amp; book a test if you have symptoms"
Fri Jul 17 10:11:24 +0000 2020,"1. A reminder that there’s no televised @scotgov #covid briefing today or Mon. We’ll be back Tues at 12.15pm. For next 2 weeks briefings will be Tues, Wed, Thurs. We’ll be back to 5 days a week at start of August in run up to schools going back."
Thu Jul 16 18:00:14 +0000 2020,@EdKane1070 @PeterMurrell Thank you x
Thu Jul 16 16:28:44 +0000 2020,"It was @KateForbesMSP who figured it out, and pretty quickly too. And she was rounded on by Scot Tories claiming she was wrong. She wasn’t. https://t.co/tiFBuHbqGU"
Thu Jul 16 15:37:58 +0000 2020,"The thing I love most about this @wats67 pic is the mischief our nephews are clearly getting up to in the right hand corner. 
The fifth member of the squad was our lovely niece - who celebrated her 4th birthday on the same day. Happy 14th, Harriet. https://t.co/eWENViMRxt https://t.co/X36A4z21Hk"
Thu Jul 16 13:23:28 +0000 2020,"RT @BBCDouglasF: 8 days on, @theIFS has rumbled @RishiSunak.
By looking at allocations through the Barnett Formula, it’s found  the Chancel…"
Thu Jul 16 06:59:30 +0000 2020,10 years ❤️ https://t.co/ZumvSrQtoB
Wed Jul 15 18:48:25 +0000 2020,RT @PeterMurrell: ✂️ #dumped
Wed Jul 15 18:41:59 +0000 2020,The sweetest reunion of all #hairdresser #Julie https://t.co/toBnQ4Qmmi
Wed Jul 15 13:03:39 +0000 2020,🙏 Thank you 🏴󠁧󠁢󠁳󠁣󠁴󠁿 - this is down to all of you. Now we must keep it going. Please keep doing all the right things - FACTS - and lets all #KeepTheHeid https://t.co/R6HPtwwOf8
Wed Jul 15 12:55:15 +0000 2020,RT @devisridhar: Remarkable progress in Scotland. 0 deaths for a week. 5 new cases. 3 days last week with no admissions to hospital from CO…
Wed Jul 15 09:31:37 +0000 2020,"Today is a big step out of lockdown. Please act safely &amp; responsibly. Let’s all #KeepTheHeid &amp; remember FACTS:
🇫Face coverings in enclosed spaces
🇦Avoid crowded places
🇨Clean hands &amp; surfaces regularly
🇹Two metre distancing
🇸Self isolate &amp; book a test if you have symptoms"
Tue Jul 14 19:21:24 +0000 2020,RT @DrDMacaskill: I simply cannot believe that @Jackson_Carlaw on @BBCScotlandNews is suggesting #carehomes will not have recruitment probl…
Tue Jul 14 13:47:00 +0000 2020,RT @nealerichmond: Amazing to receive one of Scotland’s brilliant #babyboxs today. Can’t wait to see this rolled out across Ireland under t…
Tue Jul 14 09:36:04 +0000 2020,@EdKane1070 By the finest of margins!
Tue Jul 14 09:31:20 +0000 2020,"@EdKane1070 Happy Anniversary to you both X
PS Aileen doesn’t look a day older!"
Mon Jul 13 13:36:23 +0000 2020,"RT @tortoise: All of us are living through the pandemic, yet our experiences are uniquely different. 

@campbellclaret reveals his own trou…"
Mon Jul 13 07:11:35 +0000 2020,"Make no mistake, this would be a full scale assault on devolution - a blatant move to erode the powers of the Scottish Parliament in key areas. If the Tories want to further boost support for independence, this is the way to do it.  https://t.co/Gt2b3W7X05"
Mon Jul 13 06:50:49 +0000 2020,"RT @libby_brooks: This is also about increasing aggression to devolution as a concept, from a generation of Tories for whom the fact of dev…"
Sun Jul 12 13:08:36 +0000 2020,"Another day y’day with no registered deaths of people who had tested positive for COVID. 19 new cases though - 12 more than yesterday. We can expect to see daily variation - but as on Friday, these are being closely examined. And it’s a reminder that the virus hasn’t gone away. https://t.co/TBTrboxR3g"
Sun Jul 12 12:01:27 +0000 2020,"From both anecdotal feedback and my own observation from a quick visit to a couple of shops earlier, making face coverings mandatory has resulted in close to 100% compliance. Well done, Scotland - let’s keep it up."
Sun Jul 12 11:57:24 +0000 2020,@GrayInGlasgow Sorry about that ☺️
Sun Jul 12 10:34:41 +0000 2020,@GrayInGlasgow It’s not a sign of anything other than I couldn’t fit it into diary in the timescale asked. I do have a lot on most days!
Sat Jul 11 17:57:10 +0000 2020,"Take a few minutes to listen to this. I met Nedzad in Potočari and listened to his story. It is harrowing, but his dignity is inspiring. #Srebrenica https://t.co/0YRECGAo6g"
Sat Jul 11 16:11:27 +0000 2020,@fjmunro Happy birthday 🥳
Sat Jul 11 13:43:04 +0000 2020,"“I have never seen a virus or any pathogen that has such a broad range of manifestations...even if it doesn’t kill you, even if it doesn’t put you in the hospital, it can make you seriously ill.”
This is why we mustn’t lower our guard against COVID. https://t.co/xcUjVOI1wu"
Sat Jul 11 13:33:34 +0000 2020,"For those following me for 📚chat, here’s the novel I mention in this @campbellclaret interview (recommended to me by @chrisdeerin). It is outstanding and has introduced me to an author I hadn’t previously heard of, and who has a big back catalogue - the kind of discovery I love! https://t.co/YBq4vA8EKs https://t.co/zd0XEhNEFL"
Sat Jul 11 13:16:37 +0000 2020,"Positive cases in past 24 hrs back in single figures (7) after yesterday’s increase 👍. Also, another day with no registered deaths amongst people who had tested positive. Progress still good - but with significant easing of lockdown next week, we all must take care #StaySafe https://t.co/qIHh2HddQf"
Sat Jul 11 10:21:03 +0000 2020,"This is excellent from @orkneycom - if you are planning a visit to Orkney, or anywhere else in our beautiful country, please follow this advice. #StaySafe and respect our island and rural communities. https://t.co/fGH4nPEoN8"
Sat Jul 11 10:15:09 +0000 2020,"In 2016, I visited the memorial at Potočari to pay my respects to the victims and survivors of the Srebrenica genocide. It was one of the most profound experiences of my life. 25 years on, let us remember them and resolve to always stand against hate and prejudice. @SrebrenicaMC https://t.co/q3EhGcXNbu"
Sat Jul 11 08:37:10 +0000 2020,"RT @scotgov: Today marks the 25th anniversary of the Srebrenica genocide. 

First Minister @NicolaSturgeon has paid tribute to the survivor…"
Fri Jul 10 22:09:07 +0000 2020,"Already mandatory in Scotland, so very much 👍 to this https://t.co/uG1W2KHRdQ"
Fri Jul 10 18:40:53 +0000 2020,"RT @BBCPolitics: #marr this Sunday

@michaelgove, Minister for Cabinet Office

Taoiseach @MichealMartinTD

Scotland’s First Minister @Nicol…"
Fri Jul 10 17:54:56 +0000 2020,@HamishH1931 This is just cruel - the rest of us can’t wait for Summer 🌞 https://t.co/gaLHJ1ghqx
Fri Jul 10 17:50:29 +0000 2020,"RT @scotgov: Meeting other people indoors tonight? 🏠

Here's a reminder of the rules you should follow to #StaySafe ⬇"
Fri Jul 10 08:54:40 +0000 2020,"RT @RemSrebScot: On the day before we commemorate 25 years since the massacre of over 8000 Bosniak Muslim men and boys in Srebrenica, Scotl…"
Fri Jul 10 07:51:06 +0000 2020,"RT @BBCScotlandNews: ""Wearing a face covering in a shop or on public transport should become as automatic to us as putting a seat belt on i…"
Fri Jul 10 05:56:50 +0000 2020,"😷 Face coverings are now mandatory in shops. Please wear one to help beat COVID...and remember FACTS: 
🇫Face coverings in enclosed spaces
🇦Avoid crowded places
🇨Clean hands and surfaces regularly
🇹Two metre distancing
🇸Self isolate &amp; book a test if you have symptoms"
Thu Jul 09 18:13:52 +0000 2020,@hannahcurrie @FranMacdonald I’ve just watched it Hannah - Lindsay and Paul’s story is really moving and it is beautifully and poignantly captured in your film.
Thu Jul 09 17:28:44 +0000 2020,"@bigpurpleduck @VonnSand From tomorrow, kids under 12 no longer need to physically distance, even indoors. So, off to your mum’s with the 6 year old?"
Thu Jul 09 17:06:42 +0000 2020,RT @JonnElledge: Why in the name of all that is holy are Westminster politicians apparently refusing to wear face masks? My latest @NewStat…
Thu Jul 09 17:01:45 +0000 2020,RT @scotgov: Today FM @NicolaSturgeon announced changes to the way you can meet with other households as we move into Phase 3 of our route…
Thu Jul 09 16:28:04 +0000 2020,"So sad to hear that Johnny Beattie has died. He was a hugely talented performer and a truly lovely man. The photo here was taken at the Govan Fair a few years ago - he had us in stitches. Today, we’ve lost a national treasure, and my thoughts are with his loved ones. https://t.co/Pz7F6V44sc"
Thu Jul 09 14:04:09 +0000 2020,"RT @scotgov: Tomorrow, we go into Phase 3 of our route map. Moving forward means working together and sticking with it, for yourselves and…"
Thu Jul 09 10:41:48 +0000 2020,"RT @scotgov: This afternoon First Minister @NicolaSturgeon will give an update on the #coronavirus route map in @ScotParl at 12:20pm. 

Wat…"
Thu Jul 09 09:26:50 +0000 2020,"@toni_twigg Yes, your partner (and one other person if you choose) can be there for the birth."
Thu Jul 09 09:22:46 +0000 2020,"@toni_twigg Hi Toni - hope you’re good. From Monday, you will be able to take your partner to antenatal appointments."
Tue Jul 07 17:07:59 +0000 2020,Congratulations @kirstenoswald https://t.co/ko1tLoZxDe
Tue Jul 07 16:14:42 +0000 2020,7 years ago today. Still get goosebumps watching it. #AndyMurray #Wimbledon https://t.co/OAArV5ujgg
Tue Jul 07 16:01:56 +0000 2020,"RT @scotgov: From Friday 10 July, you will be required by law to wear a face covering when you go into a shop. Face coverings are already m…"
Tue Jul 07 13:30:21 +0000 2020,"RT @StephenBMcI: .@slanjkilts recorded the equivalent of 12 years’ worth of orders in the week after @NicolaSturgeon’s appearance ""We went…"
Tue Jul 07 13:15:30 +0000 2020,"To put this into context, I said I wouldn’t use my daily COVID updates - which are about communicating public health and other pandemic related info, not about politics - to talk about elections and manifestos, full stop. https://t.co/9c7kRu7zGj"
Tue Jul 07 13:07:54 +0000 2020,"RT @HolyroodDaily: “At 50 you have an acceptance of what and who you are, and who you are not. You stop worrying about what you’re not and…"
Tue Jul 07 13:06:13 +0000 2020,"RT @HolyroodDaily: ""I feel like I'm only getting started"" https://t.co/HH2DkXPPzY The first part of our look at the differing experiences o…"
Tue Jul 07 07:13:24 +0000 2020,"Last few RTs highlight some global COVID developments. Some of the media/political debate here just now - ‘why aren’t we opening up more quickly?’ - seems to be blind to that reality. If it gets out of control again, lives will be lost/damaged and the economy will suffer more."
Tue Jul 07 07:12:27 +0000 2020,RT @StevenLBell: Parts of Europe are dealing with Covid-19 flare-ups.  Two parts of Spain - Galicia and Catalonia - are under lockdown foll…
Tue Jul 07 07:06:31 +0000 2020,RT @FinancialTimes: Coronavirus latest: Percentage testing positive in US hits highest in two months https://t.co/pOoYfAguMk
Tue Jul 07 07:00:36 +0000 2020,Australia closes state border for first time in 100 years after COVID-19 spike | Article [AMP] | Reuters https://t.co/GxAfbfveTU
Tue Jul 07 06:40:57 +0000 2020,Coronavirus: Ireland's advice against non-essential international travel extended to 20 July  https://t.co/vlqXT4GC6y
Tue Jul 07 06:38:43 +0000 2020,A stark reminder that we must not drop our guard against COVID. 5 million people in and around Melbourne back in strict lockdown for 6 weeks. #StaySafe https://t.co/rkmG8Mv7Hr
Mon Jul 06 07:22:25 +0000 2020,RT @ScotGovFM: People are being encouraged to socialise safely as beer gardens and pavement cafes across Scotland re-open: https://t.co/9z2…
Sun Jul 05 18:36:34 +0000 2020,"RT @BBCScotlandNews: People in Scotland have performed, clapped and blasted horns to mark the 72nd birthday of the NHS

➡️ https://t.co/Lmh…"
Sun Jul 05 17:45:39 +0000 2020,RT @elizabday: In which I write about miscarriage in lockdown.  https://t.co/eHHRbWYkcc
Sun Jul 05 16:17:26 +0000 2020,"Happy 72nd Birthday, NHS. Thank you for everything ❤️ #NHSscot72 https://t.co/kj6wWLDbcz"
Sun Jul 05 15:51:38 +0000 2020,Join in the special #ClapForCarers at 5pm to wish our NHS a happy birthday  #NHSscot72
Sun Jul 05 10:02:57 +0000 2020,"RT @scotgov: Watch First Minister @NicolaSturgeon thank Scotland’s health and social care workers on the 72nd anniversary of the NHS. 

""Yo…"
Sun Jul 05 09:43:51 +0000 2020,RT @streetsoccerSCO: Today is the first ever @homelesswrldcup day and everyone is invited. Join in at https://t.co/mgdNWLzFHe from 1pm BST…
Sun Jul 05 09:38:05 +0000 2020,RT @SundayTimesScot: Support for the SNP and Scottish independence has jumped to the highest level recorded by a Panelbase poll for The Sun…
Sun Jul 05 09:12:09 +0000 2020,A special #ClapForCarers will take place at 5pm today as we say happy birthday to our precious NHS #NHSscot72 https://t.co/lx2A0KMtEk
Sun Jul 05 08:52:30 +0000 2020,"RT @rosscolquhoun: 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Latest Scottish independence polling from @thetimesscot and @Panelbase:

Yes: 54% (+5)
No: 46% (-5%) https://t.c…"
Sun Jul 05 08:43:14 +0000 2020,"Not needed, so far, for COVID (thankfully) @NHSLouisaJordan will now play a part in helping the NHS resume normal services. https://t.co/wVs5pFFfbm"
Sun Jul 05 08:13:17 +0000 2020,"Happy 72nd birthday to our NHS. This year, more than any other, we have been reminded of just how precious it is. #NHSscot72 https://t.co/YcefsoAqkD"
Sat Jul 04 22:27:31 +0000 2020,📚❤️ https://t.co/hSi4FLF6ft
