created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Sun Jan 22 23:35:06 +0000 2017,Just landed in Mumbai and saw this by Deepak,9.35,3.3,1.9,87.72,1,4.14,3rd and 4th grade
Sun Jan 22 19:20:27 +0000 2017,Thank u,0.1,-3.1,-6.4,120.21,1,-13.21,-1th and 0th grade
Sun Jan 22 19:10:02 +0000 2017,Thank u,0.1,-3.1,-6.4,120.21,1,-13.21,-1th and 0th grade
Sun Jan 22 15:07:09 +0000 2017,Aa Raha Hoon Mumbai to Delhi ... aur iss baar train se RaeesByRail,9.5,5.6,5.8,76.22,1,6.48,5th and 6th grade
Sun Jan 22 14:18:14 +0000 2017,Well done,0.1,-3.1,-1.7,120.21,1,-7.41,-1th and 0th grade
Sun Jan 22 14:14:32 +0000 2017,Yes I think girls will look very cool in Raees black pathani,0.6,0.9,3.8,110.06,1,5.5,0th and 1st grade
Sun Jan 22 14:10:45 +0000 2017,Thank u all sweet Bengal,7.04,0.5,-0.2,100.24,1,1.48,1st and 2nd grade
Sun Jan 22 14:10:20 +0000 2017,Thank u,0.1,-3.1,-6.4,120.21,1,-13.21,-1th and 0th grade
Sun Jan 22 14:09:40 +0000 2017,It s good na,0.2,-2.3,-8.9,118.18,1,-10.16,-1th and 0th grade
Sun Jan 22 14:07:36 +0000 2017,Thank u for ur love,0.25,-1.9,-4.9,117.16,1,-4.33,1st and 2nd grade
Sun Jan 22 14:02:07 +0000 2017,Thank u boys and girls.,0.25,-1.9,-1.1,117.16,1,-0.85,-1th and 0th grade
Sun Jan 22 12:18:47 +0000 2017,Thank u boys and girls but be safe. No bursting crackers etc inside the halls please.,6.01,1.7,3.2,97.2,2,5.0,2nd and 3rd grade
Sun Jan 22 10:12:17 +0000 2017,Thank u Mark amp Subi. Good meeting u after a long time.,0.3,0.9,-0.9,99.23,2,-0.08,-1th and 0th grade
Sun Jan 22 10:09:06 +0000 2017,3days left amp Raees is waiting for u all. We r open for advance at already,6.01,1.7,0.2,97.2,2,1.75,1st and 2nd grade
Sun Jan 22 10:02:32 +0000 2017,Thank u boys and girls,0.25,-1.9,-2.1,117.16,1,-0.85,-1th and 0th grade
Sun Jan 22 10:02:13 +0000 2017,Thank u boys and girls,0.25,-1.9,-2.1,117.16,1,-0.85,-1th and 0th grade
Sun Jan 22 07:32:22 +0000 2017,3DaysToRaeesKaDin,0.05,-3.5,59.1,121.22,1,53.2,-1th and 0th grade
Sat Jan 21 16:41:01 +0000 2017,And Bola Na Battery Nahi Bolne Ka,8.5,2.5,0.3,89.75,1,2.44,2nd and 3rd grade
Sat Jan 21 16:27:41 +0000 2017,Thank u. Way toooo much fun. Please send me some merchandise too.,5.25,0.9,2.8,99.23,2,3.82,2nd and 3rd grade
Sat Jan 21 16:24:41 +0000 2017,And if the glasses r 3D then I guess Battery bol lo Alas Raees is in 2D but the story is multidimensional.,6.16,9.5,7.8,66.07,1,4.88,7th and 8th grade
Sat Jan 21 16:18:07 +0000 2017,And I think I am the most loved. Now don t keep standing here book ur tickets advance opens tom. RaeesAdvance,7.16,2.7,3.8,94.66,2,5.25,4th and 5th grade
Sat Jan 21 16:12:57 +0000 2017,How cool 2 hav rides of ur films amp way cooler is ur lil baby is the first 1 2 go on the ride with u Papa is a hero,2.01,9.1,7.2,83.33,1,0.13,-1th and 0th grade
Sat Jan 21 16:09:42 +0000 2017,Thank u Arabian centre thank u Dubai,8.5,3.7,2.3,81.29,1,4.94,3rd and 4th grade
Sat Jan 21 14:49:18 +0000 2017,Thank u team Kapil. Wahaan bhi aa raha hoon to have my dose of laughter.,7.17,1.5,0.5,97.7,2,1.99,1st and 2nd grade
Sat Jan 21 14:47:14 +0000 2017,4DaysToRaeesKaDin,0.05,-3.5,59.1,121.22,1,53.2,-1th and 0th grade
Sat Jan 21 14:43:46 +0000 2017,I like.,0.1,-3.1,-6.4,120.21,1,-16.11,-1th and 0th grade
Sat Jan 21 09:26:06 +0000 2017,It s amazing.,9.05,0.9,-2.7,93.81,1,-6.26,0th and 1st grade
Sat Jan 21 09:17:53 +0000 2017,Sweet Bengal,11.63,2.9,5.5,77.91,1,1.3,-1th and 0th grade
Sat Jan 21 09:13:22 +0000 2017,It was nice to meet u too,0.35,-1.2,-5.3,115.13,1,-4.24,2nd and 3rd grade
Sat Jan 21 09:00:01 +0000 2017,Where were u lovely girls when I was in college Now go and watch the film.,0.79,3.6,3.9,97.54,1,3.48,3rd and 4th grade
Sat Jan 21 08:43:29 +0000 2017,You all r very pretty too,0.3,0.9,-2.8,99.23,1,-1.53,0th and 1st grade
Sat Jan 21 08:43:09 +0000 2017,Thank u guys and girls. This is encouraging.,5.81,2.5,2.4,84.34,2,2.2,2nd and 3rd grade
Fri Jan 20 12:35:54 +0000 2017,Thank u all those who r already pre booking tickets at the halls. See u at a theatre near u...,6.5,2.5,1.2,95.17,2,1.83,3rd and 4th grade
Fri Jan 20 10:03:16 +0000 2017,Exhausted phir bhi aa raha hoon.,9.2,4.5,2.8,73.85,1,4.28,2nd and 3rd grade
Fri Jan 20 09:42:30 +0000 2017,What amazing talent all around,10.2,2.9,5.6,83.32,1,8.44,1st and 2nd grade
Thu Jan 19 14:47:54 +0000 2017,Apna time shuru RaeesPreBookings are now open...,10.75,6.0,10.3,64.37,1,12.36,8th and 9th grade
Thu Jan 19 10:41:43 +0000 2017,Thank u for saying the dialogue like me but sending u my version. Just,8.84,6.4,4.7,74.19,1,5.33,6th and 7th grade
Thu Jan 19 10:07:38 +0000 2017,So good to see Yuvraj amp Dhoni play as they r doing. Really Sheron ka zamaana hota hai,7.59,3.3,1.4,87.72,2,3.16,3rd and 4th grade
Thu Jan 19 09:34:58 +0000 2017,Din aur raat logon ke hote hai. SheronKaZamaana hota hai.,8.62,1.7,3.7,91.78,2,4.96,1st and 2nd grade
Wed Jan 18 21:52:31 +0000 2017,Extremely sweet muah,9.05,5.6,8.3,59.97,1,9.23,9th and 10th grade
Mon Jan 16 16:53:47 +0000 2017,All the best for ur foray into writing. May readers learn from the eventful life u have led.,6.71,3.3,2.7,87.72,2,4.49,3rd and 4th grade
Mon Jan 16 15:00:03 +0000 2017,Here's what happens when you call Raees battery BatteryNahiBolneka,9.35,9.2,13.4,45.42,1,17.66,8th and 9th grade
Mon Jan 16 12:27:29 +0000 2017,"Bachpan se ab tak bahut bol liya. Chashmish, Mr Four Eyes, Specky, etc. Lekin Ab... BatteryNahiBolneka",6.99,4.1,8.2,80.28,2,9.0,3rd and 4th grade
Mon Jan 16 09:41:33 +0000 2017,Thank u so much,0.2,-2.3,-5.4,118.18,1,-5.81,-1th and 0th grade
Mon Jan 16 09:35:18 +0000 2017,Wow what all is possible in a room,0.4,2.9,-1.6,88.74,1,-0.05,-1th and 0th grade
Mon Jan 16 01:01:02 +0000 2017,My conversations with my 3 amp something baby r the most enlightening. The rest is just talk,6.84,5.4,3.9,71.31,2,6.23,6th and 7th grade
Sun Jan 15 15:01:06 +0000 2017,Go Kedar Jadhav amp . So well played both. Let s win this India.,6.28,0.2,-0.9,100.95,3,-1.22,1st and 2nd grade
Sun Jan 15 14:54:57 +0000 2017,You r like my own baby. All the best,5.61,-1.0,-4.6,109.21,2,-4.92,1st and 2nd grade
Sun Jan 15 11:26:48 +0000 2017,"Is it me not keeping pace or is it,that time is not upto speed. Slacken or Hasten Screw it let s just take a selfie",6.78,3.4,2.0,92.63,2,2.48,4th and 5th grade
Sun Jan 15 08:30:52 +0000 2017,Very sweet,0.1,-3.1,0.8,120.21,1,-4.51,-1th and 0th grade
Sat Jan 14 21:34:34 +0000 2017,Back home after a long day at work. Need to eat some and sleep even more.,0.4,0.5,-0.4,105.66,2,0.65,0th and 1st grade
Sat Jan 14 08:10:16 +0000 2017,"Peace, prosperity, happiness to all on Makar Sankranti. UdiUdiJaye like the kites in the sky.",7.17,5.0,7.1,72.32,2,9.35,4th and 5th grade
Fri Jan 13 10:23:59 +0000 2017,"Raees bano, dimaag aur daring ke saath. RaeesKaDimaagAurDaring",9.95,10.0,15.0,37.98,1,18.81,9th and 10th grade
Fri Jan 13 07:59:35 +0000 2017,Very sweet baby Raees,7.78,1.3,1.8,92.8,1,2.9,1st and 2nd grade
Fri Jan 13 07:59:01 +0000 2017,Pehle biwi ka chehra dekh le phir film dekh lena baad mein uske saath,5.46,2.9,4.4,99.57,1,5.33,5th and 6th grade
Fri Jan 13 07:52:49 +0000 2017,Chalega,19.48,8.4,12.0,36.62,1,-4.81,-1th and 0th grade
Fri Jan 13 07:51:06 +0000 2017,Please eat something now,0.2,1.3,5.3,92.8,1,7.25,0th and 1st grade
Fri Jan 13 07:44:00 +0000 2017,U got the Zaalima right,7.04,5.2,-1.1,66.4,1,0.32,-1th and 0th grade
Fri Jan 13 07:42:40 +0000 2017,Nice,0.05,-3.5,-2.2,121.22,1,-22.21,-1th and 0th grade
Fri Jan 13 07:29:03 +0000 2017,Madame Raees,0.1,-3.1,5.5,120.21,1,1.3,-1th and 0th grade
Fri Jan 13 07:24:10 +0000 2017,When u sing garba it sounds even better Arvind bhai. Thank u,5.55,3.3,3.8,93.14,1,5.03,4th and 5th grade
Fri Jan 13 07:12:26 +0000 2017,Kya baat hai yaar.,0.2,-2.3,-1.9,118.18,1,-2.91,-1th and 0th grade
Fri Jan 13 06:54:08 +0000 2017,Thank u,0.1,-3.1,-6.4,120.21,1,-13.21,-1th and 0th grade
Fri Jan 13 06:51:21 +0000 2017,This is excellent. Please everyone watch this. Was myself wanting a mix like this. U r wonderful guys. Thx so much,5.35,2.6,1.8,84.13,5,1.98,1st and 2nd grade
