created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Mon Jul 20 21:22:37 +0000 2020,President signed Space Policy Directive 1 to refocus American human space exploration. Artemis program is now making strides to return American astronauts to the Moon by 2024 in order to lay a foundation for the first human mission to Mars,8.58,11.1,12.1,51.18,2,11.55,11th and 12th grade
Mon Jul 20 21:12:17 +0000 2020,"Today, America celebrates Space Exploration Day Under President leadership, we are launching a new era of American leadership as the world s greatest spacefaring Nation",9.93,15.4,18.2,29.18,1,15.96,15th and 16th grade
Mon Jul 20 21:09:40 +0000 2020,"On today s call America s Governors, we discussed our Administrations full support to states that are seeing rising cases. As we work to reopen America, we urge Americans to continue social distancing and follow state and local guidelines for masks. We're all in this together.",8.51,9.3,10.0,55.95,3,10.61,9th and 10th grade
Mon Jul 20 17:56:32 +0000 2020,Here s to four more years of Promises Made and Promises Kept With FOUR MORE YEARS of President in the we will Make America Great Again Again,6.15,9.1,11.9,77.91,1,7.49,6th and 7th grade
Mon Jul 20 17:56:30 +0000 2020,"My family amp I will always be grateful for the confidence our President placed in us. That night, I could not help but think of the verse in 2 Samuel Who am I, Sovereign Lord, and what is my family that you have brought me this far",5.81,8.9,9.0,73.0,2,5.46,8th and 9th grade
Mon Jul 20 17:56:29 +0000 2020,"Four years ago today, I accepted the Republican nomination to run and serve as Vice President of the United States. It is the greatest honor of my life to serve as Vice President for President Thank You Mr. President",6.63,9.7,9.8,60.14,2,8.76,9th and 10th grade
Mon Jul 20 16:30:31 +0000 2020,"The Eagle has landed On this day in 1969, American astronauts Buzz Aldrin amp Neil Armstrong took their first steps on the moon, marking a historic moment for our Nation. Today, we celebrate amp honor these heroic astronauts who accomplished an extraordinary feat in human history",8.55,12.3,14.1,48.13,2,12.13,12th and 13th grade
Sat Jul 18 16:41:49 +0000 2020,Statement on the Passing of Congressman John Lewis,9.95,5.2,7.9,71.82,1,11.56,7th and 8th grade
Fri Jul 17 23:15:51 +0000 2020,President promised we would do better than NAFTA amp he DELIVERED with a deal that provides free and fair trade for America s dairy farmers across the Nation The USMCA is a win for American agriculture amp for America s farmers. Thank you Morning Star Dairy Farm,7.49,10.1,12.0,64.54,2,9.52,11th and 12th grade
Fri Jul 17 19:47:43 +0000 2020,Joe Biden would weaken the Thin Blue Line that separates order from chaos. President stands with the men amp women of law enforcement because the officers who put on the uniform every day are the best of us. We will not defund the police. We will DEFEND the police.,5.86,5.7,5.6,75.91,4,7.06,5th and 6th grade
Fri Jul 17 19:41:13 +0000 2020,"While Joe Biden supports taxpayer funding of abortion, our Administration has stood without apology for the sanctity of human life since day one. We will always fight to protect the precious lives of the unborn.",9.02,8.9,11.2,62.17,2,11.25,8th and 9th grade
Fri Jul 17 19:35:48 +0000 2020,President has stood strong for educational choice because we believe you shouldn t be denied the ability to choose your kids school based on income or zip code. The American people deserve to know Joe Biden wants to end school choice.,6.19,8.9,11.1,67.59,2,9.86,8th and 9th grade
Fri Jul 17 19:24:04 +0000 2020,"Contrary to Joe Biden and Bernie Sanders radical agenda, President is rebuilding this economy based on freedom, free markets, and the rule of law. Their agenda is based on government control and our agenda is based on FREEDOM.",7.9,9.5,11.5,60.65,2,10.79,11th and 12th grade
Fri Jul 17 19:17:25 +0000 2020,"From the very first day of this Administration, President set our Nation on a path to freedom and opportunity. Joe Biden would set America on the path of Socialism and Decline.",7.46,8.2,8.5,64.2,2,9.16,8th and 9th grade
Fri Jul 17 19:16:06 +0000 2020,"It s good to be in Ripon, WI, the birthplace of the Republican Party In our first 3 1 2 years, President kept every promise he made to the people of the Badger State amp with four more years in the he will continue to fight for the American people",7.7,19.3,22.2,46.11,1,6.23,-1th and 0th grade
