created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Mon Dec 17 05:55:43 +0000 2018,I added a video to a playlist Jennifer Lopez dishes on her secret pre show ritual,7.39,6.0,6.0,80.62,1,6.38,5th and 6th grade
Mon Dec 17 05:55:28 +0000 2018,I added a video to a playlist Jennifer Lopez is raising her kids to be strong and independent,7.16,6.8,7.4,78.59,1,6.9,6th and 7th grade
Mon Dec 17 05:55:03 +0000 2018,I added a video to a playlist Can You Feel It with Jennifer Lopez and Milo Ventimiglia,7.27,5.2,6.5,88.06,1,6.32,6th and 7th grade
Mon Dec 17 00:08:20 +0000 2018,Have you seen my poll Neck and neck Miranda Samantha,7.29,3.7,3.8,86.71,1,6.18,3rd and 4th grade
Mon Dec 17 00:07:11 +0000 2018,I just got goosies,0.2,-2.3,-1.9,118.18,1,-1.46,-1th and 0th grade
Sun Dec 16 23:49:23 +0000 2018,Guys I can t wait for you to see this movie secondact,5.55,3.3,1.1,93.14,1,2.13,5th and 6th grade
Sun Dec 16 16:18:57 +0000 2018,So said I m a Charlotte which is insane I think I m a Carrie ...who is Leah,7.16,5.6,2.7,87.05,1,0.17,7th and 8th grade
Sat Dec 15 23:45:39 +0000 2018,Are you ready for the Limitless video,6.24,2.5,2.9,89.75,1,5.75,2nd and 3rd grade
Sat Dec 15 14:06:52 +0000 2018,"Learn to be Limitless so you can have your own SecondAct, I spoke with and Dr. Stacy L. Smith as we covered women s empowerment and getting what you need to succeed Full video here",7.21,6.6,7.0,79.09,2,6.15,6th and 7th grade
Fri Dec 14 20:52:30 +0000 2018,AWWW,0.05,-3.5,-2.2,121.22,1,-22.21,-1th and 0th grade
Fri Dec 14 17:51:04 +0000 2018,"I added a video to a playlist Ariana Grande thank u, next",5.55,3.3,2.6,93.14,1,3.58,5th and 6th grade
Fri Dec 14 17:05:39 +0000 2018,Esta princesa me rob el coraz n esta ma ana en Despierta America SecondAct,8.84,8.8,6.1,57.27,1,7.42,8th and 9th grade
Fri Dec 14 05:25:45 +0000 2018,Loved everything about this,0.2,3.7,8.8,75.88,1,11.6,1st and 2nd grade
Fri Dec 14 04:34:28 +0000 2018,Shhhhhh NO SPOILERS,14.31,12.7,6.8,9.21,1,7.32,12th and 13th grade
Fri Dec 14 04:30:41 +0000 2018,Did you watch what happened...live wwhl,6.57,0.9,8.3,99.23,1,9.15,1st and 2nd grade
Thu Dec 13 04:39:21 +0000 2018,Thank you babe,0.15,-2.7,-1.2,119.19,1,-2.38,0th and 1st grade
Thu Dec 13 04:39:21 +0000 2018,Thank you babe,0.15,-2.7,-1.2,119.19,1,-2.38,0th and 1st grade
Thu Dec 13 03:01:52 +0000 2018,What a time,0.15,-2.7,-5.9,119.19,1,-8.18,0th and 1st grade
Wed Dec 12 23:58:24 +0000 2018,"And we re LIVE Watch Sisanie, Tanya Rad and Patty Rodriguez as they join the stars of SecondAct live from the red carpet premiere in New York",7.31,9.1,12.1,77.91,1,7.49,6th and 7th grade
Wed Dec 12 20:29:52 +0000 2018,My buddy SecondAct,14.31,9.2,5.2,34.59,1,5.35,14th and 15th grade
Wed Dec 12 20:21:13 +0000 2018,YASSSS LENNY,0.1,-3.1,5.5,120.21,1,1.3,-1th and 0th grade
Wed Dec 12 14:53:20 +0000 2018,Literally bent over laughing crying tears pain in gut funny secondact,9.92,8.8,9.3,51.85,1,12.62,9th and 10th grade
Tue Dec 11 13:42:30 +0000 2018,YES WE DID,0.15,-2.7,-7.5,119.19,1,-10.09,0th and 1st grade
Tue Dec 11 13:29:56 +0000 2018,Gonna be a good one SecondAct,6.57,2.1,0.4,90.77,1,2.37,2nd and 3rd grade
Sun Dec 09 00:09:40 +0000 2018,"Tag the friend who always has to watch their mouth, me first secondact limitless",6.59,6.4,8.1,74.19,1,9.45,6th and 7th grade
Fri Dec 07 02:18:29 +0000 2018,Current Mood Limitless,14.31,9.2,11.5,34.59,1,13.12,11th and 12th grade
Thu Dec 06 23:07:24 +0000 2018,PART TWO IS HERE The Making Of Limitless the anthem for SecondAct Music video soonest,8.59,8.0,8.3,64.71,1,9.56,8th and 9th grade
Wed Dec 05 18:12:41 +0000 2018,"SecondAct is about empowerment I loved working with all these brilliant women. Working with people you love is a and we had so much fun, it really shines through limitless",7.01,8.0,8.3,64.71,2,9.21,7th and 8th grade
Sun Dec 02 00:16:28 +0000 2018,We all have this bestie SecondAct,6.57,2.1,3.6,90.77,1,6.25,2nd and 3rd grade
Thu Nov 29 19:03:43 +0000 2018,So fun,0.1,-3.1,-8.8,120.21,1,-16.11,-1th and 0th grade
Thu Nov 29 18:41:05 +0000 2018,The audience went home with my Limitless palette and you can get one too Use code JLOELLEN for 15 off on,6.93,6.8,7.9,84.0,1,5.92,6th and 7th grade
Thu Nov 29 16:09:52 +0000 2018,I sat down with for a fantastic interview about MORE...what does it mean to want more and what to do with it when you get it I hope it inspires you to get yours I want you to win You re limitless there s never a bad time for a secondact,7.71,18.5,21.3,53.55,1,4.43,18th and 19th grade
Thu Nov 29 13:09:25 +0000 2018,L KING FOR YOUR SECONDACT STORIES amp CANT WAIT,5.84,3.3,3.5,87.72,1,6.06,5th and 6th grade
Thu Nov 29 02:22:44 +0000 2018,Look at me now... secondact limitless,9.2,6.8,6.7,56.93,1,7.18,6th and 7th grade
Wed Nov 28 01:12:28 +0000 2018,Create your own Limitless videos GIFs here show me your Limitless creations,8.18,6.8,9.7,67.76,1,12.75,6th and 7th grade
Sat Nov 24 17:17:05 +0000 2018,Your blackfriday and cybermonday will be incomplete without the JloxInglot Holiday Set HAPPY HOLIDAYS GO GET IT,9.12,13.5,13.4,28.84,1,14.85,14th and 15th grade
Thu Nov 22 17:48:06 +0000 2018,SECONDACT is coming soonest I love this movie and you will too Can t wait for you to see it and it can t come soon enough Only one more month HAPPY THANKSGIVING,6.23,11.4,13.3,71.82,1,5.82,5th and 6th grade
Mon Nov 19 16:25:06 +0000 2018,Atr vete a lucir el animal print de mi colecci n JLOxCoppel Compra aqu,8.84,7.6,4.7,65.73,1,5.73,7th and 8th grade
Sat Nov 17 03:17:49 +0000 2018,Second Act Official Trailer via,10.2,7.6,6.5,49.48,1,9.6,9th and 10th grade
Fri Nov 16 23:43:41 +0000 2018,. chooses Limitless for its NewMusicFriday playlist. Make it your power anthem this weekend.,10.03,8.2,10.5,47.96,2,13.69,10th and 11th grade
Fri Nov 16 19:00:25 +0000 2018,STREAM amp DOWNLOAD LIMITLESS from SECONDACT,11.83,8.0,12.2,48.47,1,16.87,11th and 12th grade
Fri Nov 16 18:08:24 +0000 2018,LIMITLESS IS OUT NOW Stream here NewMusic...,8.5,6.0,7.6,64.37,1,9.06,8th and 9th grade
Fri Nov 16 15:13:39 +0000 2018,LIMITLESS IS AVAILABLE NOW STREAM DOWNLOAD HERE SECONDACT,11.93,8.8,12.0,46.44,1,16.6,11th and 12th grade
Thu Nov 15 22:20:22 +0000 2018,And video soon,0.15,-2.7,-1.2,119.19,1,-2.38,0th and 1st grade
Thu Nov 15 22:19:48 +0000 2018,RISING RISING,0.1,8.8,7.8,35.61,1,4.2,-1th and 0th grade
Wed Nov 14 21:11:10 +0000 2018,Te guste,0.1,-3.1,-4.0,120.21,1,-10.31,-1th and 0th grade
Wed Nov 14 20:25:21 +0000 2018,GENERAL MOOD TeGuste,0.15,5.6,8.3,59.97,1,9.23,-1th and 0th grade
Wed Nov 14 20:08:23 +0000 2018,Lesssssssdooooooittttt,19.48,8.4,82.7,36.62,1,82.2,-1th and 0th grade
Wed Nov 14 20:07:02 +0000 2018,Can we go higher,7.78,1.3,-4.2,92.8,1,-4.36,0th and 1st grade
Sat Nov 10 22:58:31 +0000 2018,Can we do it,0.2,-2.3,-8.9,118.18,1,-10.16,-1th and 0th grade
Sat Nov 10 22:36:58 +0000 2018,A,0.05,-3.5,-16.3,121.22,1,-39.61,-1th and 0th grade
Sat Nov 10 20:38:48 +0000 2018,You re welcome mami,7.78,3.7,-0.7,75.88,1,0.0,-1th and 0th grade
Sat Nov 10 20:18:19 +0000 2018,TeGuste,0.05,-3.5,12.0,121.22,1,-4.81,-1th and 0th grade
Sat Nov 10 01:13:02 +0000 2018,LETS GO,0.1,-3.1,-6.4,120.21,1,-13.21,-1th and 0th grade
Fri Nov 09 18:19:02 +0000 2018,"NUEVA M SICA AHORA POR TODAS PARTES TE AMO Y GRACIAS 1 YOUTUBE, LATINO 1 badbunny jlo teguste",9.79,8.0,7.4,70.13,1,6.61,6th and 7th grade
Fri Nov 09 18:12:00 +0000 2018,STREAM NOW,0.1,-3.1,0.8,120.21,1,-4.51,-1th and 0th grade
