created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Wed Apr 03 00:14:46 +0000 2019,The first rule of StinkTank is you don t open your mouth in the stink tank. The second rule is... don t forget Brad Pitt is also in the Ocean s movie. GameofGames,5.41,5.0,5.4,88.57,2,4.41,4th and 5th grade
Wed Apr 03 00:12:21 +0000 2019,Fun Fact Sandra Bullock was running the StinkTank arm backstage. GameofGames,11.36,6.4,12.3,68.77,1,15.81,4th and 5th grade
Wed Apr 03 00:03:56 +0000 2019,"Justin, I was totally kidding, guv na GameofGames DizzyDash",11.1,6.8,9.8,62.34,1,12.5,6th and 7th grade
Tue Apr 02 23:58:53 +0000 2019,"Here we go It s time for the season finale of GameofGames Are you watching, East Coast The ending is crazy. Get your Game of Games app up amp running",5.96,4.4,4.9,90.09,2,4.92,4th and 5th grade
Tue Apr 02 23:45:03 +0000 2019,Don t miss the finale of GameofGames tonight. Extra points if you can figure out what is saying.,6.71,3.3,3.7,87.72,2,5.77,3rd and 4th grade
Tue Apr 02 23:24:55 +0000 2019,"If you haven t heard new music, reevaluate all your life choices and listen to it now. I love it so much.",5.62,2.9,2.1,94.15,2,2.88,2nd and 3rd grade
Tue Apr 02 22:41:45 +0000 2019,"You were incredible. Somebody raised you right. Way to go, Trish.",6.69,3.6,4.0,76.18,3,3.12,3rd and 4th grade
Tue Apr 02 21:42:10 +0000 2019,The Season 2 finale of GameofGames airs tonight We re working on Season 3 right now.,7.39,6.0,6.9,80.62,1,7.07,6th and 7th grade
Tue Apr 02 21:25:35 +0000 2019,"I played a game with my audience, because now you can watch my NancyDrew movie on DVD and Vudu Hudu Yudu.",6.18,6.8,8.1,84.0,1,5.63,5th and 6th grade
Tue Apr 02 21:04:22 +0000 2019,Don t miss the Season 2 finale of GameofGames tonight 8 7c on You will not believe the ending,6.24,7.2,6.7,77.57,1,5.63,6th and 7th grade
Tue Apr 02 20:32:43 +0000 2019,"Tomorrow, the country of Brunei will start stoning gay people to death. We need to do something now. Please boycott these hotels owned by the Sultan of Brunei. Raise your voices now. Spread the word. Rise up.",6.14,2.6,4.2,89.34,5,5.92,2nd and 3rd grade
Tue Apr 02 19:51:40 +0000 2019,I love kids. I also love when my couch isn t sticky.,0.3,-0.4,-2.4,107.69,2,-1.99,-1th and 0th grade
Tue Apr 02 19:18:04 +0000 2019,. jumps off the second floor of his house into his pool every day.,0.64,4.8,4.3,83.66,1,4.57,4th and 5th grade
Tue Apr 02 18:20:33 +0000 2019,". was here, but her Caution, Pool Ahead sign was not.",5.71,2.5,3.8,95.17,1,3.86,3rd and 4th grade
Tue Apr 02 17:31:40 +0000 2019,. is a brilliant actress and an exceptional prankster.,9.95,8.8,9.7,46.44,1,12.25,9th and 10th grade
Tue Apr 02 16:35:37 +0000 2019,This.,0.05,-3.5,2.6,121.22,1,-22.21,-1th and 0th grade
Tue Apr 02 02:34:08 +0000 2019,Ok now one with eyes open.,0.3,-1.5,-2.0,116.15,1,-1.53,-1th and 0th grade
Tue Apr 02 00:09:23 +0000 2019,SplittingUpTogether is back tomorrow night Pull up a chair and light a candle.,5.5,8.4,9.0,58.28,1,10.83,7th and 8th grade
Mon Apr 01 23:28:46 +0000 2019,. makes me laugh.,0.15,0.9,2.1,93.81,1,-2.38,0th and 1st grade
Mon Apr 01 21:43:45 +0000 2019,"I ll see you tomorrow night for an all new GameofGames, so I ll See Ya Later, Alligator.",6.28,8.0,6.1,70.13,1,4.35,6th and 7th grade
Mon Apr 01 20:53:49 +0000 2019,"Ed O Neill didn t recognize when she came up to him in an airport. So, I thought we could play a new game called Who s This",1.26,2.9,1.7,99.57,2,1.62,1st and 2nd grade
Mon Apr 01 20:14:33 +0000 2019,My audience was electrified by,10.2,7.6,5.6,49.48,1,8.44,7th and 8th grade
Mon Apr 01 19:33:53 +0000 2019,"Whatever you do, do not say the DangerWord.",7.98,5.2,3.8,71.82,1,5.0,4th and 5th grade
Mon Apr 01 19:02:36 +0000 2019,These police officer partners are about to warm your heart. ThanksSponsor,7.05,6.4,11.1,68.77,1,14.25,5th and 6th grade
Mon Apr 01 18:21:30 +0000 2019,I had a big surprise for I u,0.4,0.5,-5.1,105.66,1,-4.4,0th and 1st grade
Mon Apr 01 17:40:35 +0000 2019,". has had the most incredible year, and she s here to tell me about all of it.",5.41,5.2,4.0,88.06,1,2.2,5th and 6th grade
Sun Mar 31 23:27:02 +0000 2019,". is here tomorrow, and her performance is gonna knock your galoshes off.",6.86,8.0,8.5,59.3,1,9.85,8th and 9th grade
Sat Mar 30 18:03:26 +0000 2019,"Happy birthday, I hope there are moments of gold and flashes of light.",6.71,4.8,6.1,83.66,1,6.83,5th and 6th grade
Sat Mar 30 15:51:04 +0000 2019,"Happy SaturKay, y all is back with a brand new OMKalen.",5.62,2.9,3.3,94.15,1,4.21,4th and 5th grade
Fri Mar 29 22:28:39 +0000 2019,Just a friendly reminder to get yourself ready for Tuesday s all new GameofGames.,6.59,6.4,8.5,74.19,1,9.91,5th and 6th grade
Fri Mar 29 21:47:42 +0000 2019,Never too early to start working on your summer body.,5.71,4.8,4.3,78.25,1,6.18,3rd and 4th grade
Fri Mar 29 19:54:20 +0000 2019,Nate and Landon go together like rama lama lama ka dinga da ding a dong.,7.54,5.6,4.3,81.63,1,4.17,5th and 6th grade
Fri Mar 29 18:57:33 +0000 2019,I got to unravel some of the mystery that all started with the Big Bang.,7.54,5.6,4.3,81.63,1,4.17,7th and 8th grade
