created_at,text,dale_chall_readability_score,flesch_kincaid,automated_readability,flesch_reading,sentence_count,coleman_liau_index,based_on_all_algorithms
Tue Mar 01 20:50:17 +0000 2016,"We're seeing the fastest rise in sea levels in nearly 3,000 years ActOnClimate",6.71,7.2,9.0,66.74,1,10.37,6th and 7th grade
Tue Mar 01 18:37:51 +0000 2016,Get the facts on everything from a fair SCOTUS nomination process to climate change,7.71,7.6,9.1,65.73,1,11.13,7th and 8th grade
Tue Mar 01 17:02:47 +0000 2016,Today's the 55th birthday of the Thanks to all who have served across the globe. PeaceCorpsWeek2016,6.4,4.8,11.3,89.08,1,12.18,6th and 7th grade
Mon Feb 29 23:05:20 +0000 2016,It's the Senate's duty to give the President's nominee a fair hearing and a timely vote. DoYourJob,9.12,9.9,9.8,54.22,1,9.05,9th and 10th grade
Mon Feb 29 20:53:18 +0000 2016,One third of all U.S. presidents appointed a Supreme Court justice in an election year. h t,8.19,7.6,7.8,71.14,1,7.02,7th and 8th grade
Mon Feb 29 19:05:55 +0000 2016,Sign petition to let the Senate know you demand a fair Supreme Court nomination process,8.59,8.0,9.0,64.71,1,10.37,8th and 9th grade
Mon Feb 29 16:17:30 +0000 2016,LIVE President Obama is presenting the Medal of Honor to Senior Chief Special Warfare Operator Edward Byers.,12.84,12.3,12.6,37.3,1,13.45,12th and 13th grade
Fri Feb 26 23:08:52 +0000 2016,"Thanks to the RecoveryAct, clean energy investments have created hundreds of thousands of jobs.",11.1,11.1,13.2,40.35,1,15.25,10th and 11th grade
Fri Feb 26 22:00:48 +0000 2016,"Our economy has come a long way, but there's more work to do say you support common sense economic policies",8.58,8.7,9.3,68.1,1,7.66,8th and 9th grade
Fri Feb 26 20:55:05 +0000 2016,"Seven years ago, our economy was shedding nearly 800,000 jobs a day. We've come a long way.",5.92,3.1,3.6,88.23,2,4.54,3rd and 4th grade
Fri Feb 26 19:25:16 +0000 2016,Our economy has added 14 million jobs over the longest streak of private sector job growth on record.,8.04,6.8,9.6,78.59,1,9.16,8th and 9th grade
Fri Feb 26 18:46:41 +0000 2016,LIVE President Obama is highlighting the progress of the American economy.,9.92,9.9,11.5,43.39,1,14.77,9th and 10th grade
Fri Feb 26 17:56:13 +0000 2016,Tune in at 1 55 p.m. ET to see President Obama speak about the economic progress we've made since the RecoveryAct.,7.16,5.0,4.9,77.74,2,6.12,4th and 5th grade
Fri Feb 26 16:47:42 +0000 2016,Tell the Senate Stop playing games with our Supreme Court. DoYourJob,8.49,5.2,8.9,77.23,1,11.58,8th and 9th grade
Fri Feb 26 01:02:26 +0000 2016,The Senate should fulfill its constitutional duty and fairly consider the President's nominee. DoYourJob,13.35,14.7,16.2,14.97,1,19.02,19th and 20th grade
Thu Feb 25 21:55:09 +0000 2016,Add your name if you agree Failing to fill the Supreme Court vacancy for over a year is unacceptable. DoYourJob,7.79,8.7,10.2,68.1,1,9.11,8th and 9th grade
Thu Feb 25 19:20:05 +0000 2016,Retweet if you agree that we can't afford to play political games over the Supreme Court vacancy. DoYourJob,8.04,8.0,11.1,70.13,1,10.79,7th and 8th grade
Thu Feb 25 16:42:22 +0000 2016,"The solar industry hit record growth last year, surpassing natural gas installations for the first time",9.36,9.5,12.5,55.24,1,13.98,9th and 10th grade
Wed Feb 24 19:14:28 +0000 2016,This kind of obstruction is unprecedented. Tell Senate leaders DoYourJob,11.78,8.8,10.7,41.02,2,14.24,10th and 11th grade
Wed Feb 24 17:50:18 +0000 2016,Sign petition to let the Senate know you demand a fair Supreme Court nomination process,8.59,8.0,9.0,64.71,1,10.37,8th and 9th grade
Wed Feb 24 14:46:40 +0000 2016,President Obama on his constitutional responsibility and the qualities he's looking for in his SCOTUS nominee,12.33,15.4,14.3,12.94,1,16.12,12th and 13th grade
Tue Feb 23 22:59:30 +0000 2016,Refusing to even consider the President's Supreme Court nominee is unprecedented. Tell the Senate DoYourJob.,11.38,9.8,11.9,38.48,2,15.56,11th and 12th grade
Tue Feb 23 18:33:05 +0000 2016,"With more than 300 days left in President Obama's term, the Senate has no excuse to delay. DoYourJob",8.92,8.0,9.3,70.13,1,8.18,8th and 9th grade
Tue Feb 23 17:19:26 +0000 2016,Be part of the team debunking myths with facts join the Truth Team,5.5,3.6,4.6,92.12,1,5.9,5th and 6th grade
Tue Feb 23 15:31:44 +0000 2016,LIVE President Obama is delivering a statement from the Roosevelt Room.,11.36,8.8,10.2,51.85,1,13.15,11th and 12th grade
Mon Feb 22 22:58:51 +0000 2016,A fair judicial nomination process is important for a functioning democracy read more,9.14,10.7,11.5,41.36,1,14.43,11th and 12th grade
Mon Feb 22 19:57:43 +0000 2016,Speak up for a fair nomination process and a timely vote by the Senate sign petition DoYourJob,9.12,8.7,8.7,62.68,1,9.05,8th and 9th grade
Mon Feb 22 18:32:41 +0000 2016,The Senate should not play political games with our Supreme Court.,7.05,5.2,8.0,77.23,1,10.54,7th and 8th grade
Mon Feb 22 17:10:27 +0000 2016,The Senate also has a constitutional duty to consider presidential nominees expeditiously. h t,11.1,17.0,12.8,-1.96,1,15.25,12th and 13th grade
Sun Feb 21 18:50:55 +0000 2016,Add your name to let the Senate know The Supreme Court is too important to be held hostage by partisan politics.,6.93,7.9,9.7,75.54,1,7.83,7th and 8th grade
Fri Feb 19 20:01:10 +0000 2016,Gain the skills you need to turn a desire for change into impact apply to be an fellow today,6.24,7.2,6.4,77.57,1,5.28,6th and 7th grade
Fri Feb 19 17:13:06 +0000 2016,The impact of climate change in one GIF ActOnClimate,9.35,6.8,6.1,62.34,1,9.31,8th and 9th grade
Thu Feb 18 20:17:27 +0000 2016,"The longest streak of private sector job growth, 4.9 unemployment rate middle class economics is working.",10.35,9.5,13.1,55.24,1,13.98,9th and 10th grade
Thu Feb 18 18:30:33 +0000 2016,It's official January 2016 was the most abnormally warm month on record. ActOnClimate,7.93,10.7,11.5,41.36,1,13.5,10th and 11th grade
Wed Feb 17 22:23:02 +0000 2016,"Read what Biden has to say about our economic comeback, thanks in part to the Recovery Act",7.27,6.4,7.6,79.6,1,7.31,6th and 7th grade
Wed Feb 17 20:01:46 +0000 2016,"In the past seven years, our economy has made real progress.",5.62,5.2,5.5,77.23,1,6.82,5th and 6th grade
Sun Feb 14 21:59:44 +0000 2016,"This Valentines Day, speak up for equality LoveIsLove",7.98,4.1,9.7,80.28,1,13.01,3rd and 4th grade
Sun Feb 14 19:49:16 +0000 2016,"No matter who you are or whom you love, celebrate Valentines Day with pride. LoveIsLove",6.49,5.6,9.0,81.63,1,9.56,5th and 6th grade
Sat Feb 13 21:27:11 +0000 2016,Stand against discrimination join the fight for equality. LoveIsLove,7.59,8.0,14.5,53.88,1,18.99,7th and 8th grade
Sat Feb 13 15:32:09 +0000 2016,Retweet if you believe LoveIsLove.,0.25,0.5,9.3,100.24,1,11.92,1st and 2nd grade
Fri Feb 12 22:56:54 +0000 2016,Watch President Obama thank for all she's done for the LGBT community LoveIsLove,7.93,7.2,9.7,66.74,1,11.7,7th and 8th grade
Fri Feb 12 21:02:33 +0000 2016,"Read President Obama's thoughts on climate change, technology, and WomenInSTEM",12.03,10.7,16.1,35.95,1,19.52,15th and 16th grade
Fri Feb 12 19:20:19 +0000 2016,"Thanks to President Obama, future generations will still be able to explore from sea to shining sea. FindYourPark",9.79,11.5,12.7,44.75,1,12.7,11th and 12th grade
Fri Feb 12 17:17:28 +0000 2016,President Obama has protected more land and water than any of his predecessors and he's not done yet FindYourPark,8.73,10.7,11.6,52.19,1,11.43,10th and 11th grade
Thu Feb 11 21:42:15 +0000 2016,"Marriage equality may be the law of the land, but there's more work to do to end discrimination. Join the fight",5.66,3.8,4.2,86.2,2,5.54,5th and 6th grade
Thu Feb 11 20:06:54 +0000 2016,Show what you believe get the LoveIsLove tee.,0.4,0.5,4.9,105.66,1,7.21,0th and 1st grade
Thu Feb 11 18:25:16 +0000 2016,"Celebrate this Valentine's Day with pride, and no matter who you love, commit to ending discrimination. LoveIsLove",8.19,9.9,14.2,54.22,1,14.5,9th and 10th grade
Thu Feb 11 17:09:23 +0000 2016,"The fact is we ve gotten a heck of a lot done these past seven years, despite the gridlock. President Obama",8.44,7.9,8.6,75.54,1,6.21,7th and 8th grade
Wed Feb 10 20:57:19 +0000 2016,"LIVE President Obama is speaking in Springfield, Illinois.",13.9,8.8,12.6,46.44,1,15.91,8th and 9th grade
Wed Feb 10 19:31:35 +0000 2016,"Tune in at 4 25 p.m. ET to watch President Obama speak to supporters in Springfield, Illinois",8.7,4.2,4.2,79.77,2,5.88,3rd and 4th grade
Wed Feb 10 17:42:06 +0000 2016,Join the Truth Team and spread the facts on issues that matter,5.55,3.3,4.6,93.14,1,6.48,4th and 5th grade
Tue Feb 09 22:32:19 +0000 2016,Say cheese. NationalPizzaDay,9.05,12.7,20.9,9.21,1,22.75,12th and 13th grade
Tue Feb 09 19:13:20 +0000 2016,An increase in solar jobs is good for our economy and our environment. ActOnClimate,9.97,9.9,9.1,48.81,1,10.72,9th and 10th grade
Tue Feb 09 16:38:01 +0000 2016,Good news 2015 was another great year for clean energy growth. ActOnClimate,6.86,8.0,9.7,59.3,1,12.28,7th and 8th grade
Mon Feb 08 20:12:05 +0000 2016,Criminal justice reform is overdue. Speak up for fairness add your name FixTheSystem,11.25,5.8,7.9,64.88,2,11.43,7th and 8th grade
Mon Feb 08 18:30:28 +0000 2016,We need to FixTheSystem.,7.78,3.7,5.3,75.88,1,5.8,5th and 6th grade
Mon Feb 08 16:31:21 +0000 2016,"Health care marketplace enrollment numbers are in, and it's good news. Take a look Obamacare",8.22,3.9,6.8,80.78,2,9.35,3rd and 4th grade
Sat Feb 06 17:04:05 +0000 2016,The budget I will send to Congress this Tuesday will double funding for clean energy research. President Obama,10.67,10.3,11.9,53.21,1,12.06,10th and 11th grade
Sat Feb 06 16:04:16 +0000 2016,"In the weekly address, President Obama discusses how the private sector is helping in the fight to ActOnClimate",11.55,11.5,12.2,44.75,1,12.41,11th and 12th grade
Fri Feb 05 22:49:25 +0000 2016,Last year was the second best year for job creation since the late 1990s but there's more work to do.,1.78,5.2,7.9,93.48,1,5.92,7th and 8th grade
Fri Feb 05 21:27:53 +0000 2016,The economy continues a record breaking streak of 71 straight months of private sector job growth. Read more,8.92,8.0,11.4,70.13,1,11.42,10th and 11th grade
Fri Feb 05 17:32:27 +0000 2016,LIVE President Obama is delivering a statement on the economy.,12.03,10.7,8.5,35.95,1,11.4,10th and 11th grade
Fri Feb 05 16:35:21 +0000 2016,Middle class economics is working.,10.2,7.6,9.3,49.48,1,11.92,9th and 10th grade
Thu Feb 04 21:35:43 +0000 2016,"Stand up for a smarter, fairer criminal justice system add your name now FixTheSystem",9.97,7.6,9.8,65.73,1,11.53,7th and 8th grade
Thu Feb 04 18:59:43 +0000 2016,It's time to FixTheSystem.,7.78,3.7,7.7,75.88,1,7.25,7th and 8th grade
Thu Feb 04 17:03:25 +0000 2016,Check out President Obama's message to supporters on the importance of keeping up the fight for progress,9.12,8.7,11.5,62.68,1,12.12,11th and 12th grade
Wed Feb 03 21:39:01 +0000 2016,"Everyone has to pitch in to StopGunViolence, including the private sector. Check out what just did.",7.98,6.4,7.3,63.36,2,9.7,7th and 8th grade
Wed Feb 03 19:38:14 +0000 2016,Progress is not inevitable it depends on hard work. Say you'll fight for it,6.24,0.1,2.9,106.67,2,4.94,2nd and 3rd grade
Wed Feb 03 18:04:43 +0000 2016,LIVE President Obama is speaking in Baltimore.,13.01,9.6,9.0,38.99,1,12.36,9th and 10th grade
Tue Feb 02 22:52:24 +0000 2016,"More than 60 attempts later, and Congress is still wasting time and money trying to repeal or dismantle Obamacare.",11.23,9.5,11.9,60.65,1,11.43,9th and 10th grade
Tue Feb 02 18:51:49 +0000 2016,Show your organizing pride.,7.78,7.2,8.8,50.5,1,10.15,7th and 8th grade
Tue Feb 02 16:49:53 +0000 2016,"No fluff, just facts that's the Truth Team way. Join now",0.55,0.5,3.8,111.07,1,4.21,0th and 1st grade
Sun Jan 31 22:41:53 +0000 2016,There's just a few hours left to GetCovered for 2016,5.71,2.5,3.8,95.17,1,5.6,5th and 6th grade
Sun Jan 31 18:55:52 +0000 2016,Spread the word Today is the last day to GetCovered for 2016. AreYouCovered,6.71,6.0,7.9,75.2,1,9.5,7th and 8th grade
Sun Jan 31 17:40:39 +0000 2016,TODAY The last day to check out your options and GetCovered. Don't miss it.,6.24,2.5,2.9,89.75,2,4.47,2nd and 3rd grade
Sat Jan 30 23:07:03 +0000 2016,The end of the open enrollment is right around the corner make sure your friends know how to GetCovered,6.24,7.2,9.1,77.57,1,8.65,11th and 12th grade
Sat Jan 30 16:35:31 +0000 2016,"Have a worry free weekend, and take care of this right now GetCovered",6.71,4.8,5.7,83.66,1,6.83,6th and 7th grade
Sat Jan 30 15:12:01 +0000 2016,There's still time to GetCovered but hurry,6.24,3.7,6.3,81.29,1,9.06,3rd and 4th grade
Fri Jan 29 22:23:22 +0000 2016,Just two days left to get GetCovered for 2016.,5.84,2.1,2.9,96.18,1,4.78,4th and 5th grade
Fri Jan 29 20:30:11 +0000 2016,Check out what President Obama is doing to help advance EqualPay for women.,10.35,7.2,7.9,66.74,1,9.5,7th and 8th grade
Fri Jan 29 19:12:10 +0000 2016,Add your name if you agree that equal work deserves EqualPay,7.05,2.9,5.5,94.15,1,7.93,4th and 5th grade
Fri Jan 29 17:54:06 +0000 2016,"Seven years ago, President Obama signed the Lilly Ledbetter Fair Pay Act a step forward. But the fight isn't over.",7.29,6.0,5.9,69.79,2,7.63,7th and 8th grade
Fri Jan 29 17:17:56 +0000 2016,LIVE President Obama is speaking about the importance of EqualPay for women. StandWithWomen,11.57,10.7,13.7,41.36,1,16.63,10th and 11th grade
Fri Jan 29 16:11:37 +0000 2016,Tune in at 12 10 p.m. ET to watch President Obama speak on the anniversary of the Lilly Ledbetter Fair Pay Act.,7.77,5.2,3.3,77.23,2,4.45,5th and 6th grade
Fri Jan 29 00:07:08 +0000 2016,Join the team that's fighting misinformation with facts,7.98,6.4,10.8,63.36,1,14.46,7th and 8th grade
Thu Jan 28 22:00:43 +0000 2016,Don't miss this deadline GetCovered,10.2,5.2,10.3,66.4,1,13.08,9th and 10th grade
Thu Jan 28 18:22:49 +0000 2016,The open enrollment period ends on Sunday talk to your friends about how they can GetCovered,7.39,7.2,9.2,72.16,1,10.32,6th and 7th grade
